root [20] tree->Scan("truePDG:trueP:isSeen:seenP:basicPDG:dEdxPDG:showerPDG:likeliPDG:lowmomPDG","isSeen>0.5&&seenCharge!=0");
***********************************************************************************************************************************
*    Row   * Instance *   truePDG *     trueP *    isSeen *     seenP *  basicPDG *   dEdxPDG * showerPDG * likeliPDG * lowmomPDG *
*        4 *       50 *      -211 * 1.5044856 *     0.982 * 1.5047375 *      2212 *        13 *       321 *      2212 *         0 *
*        4 *       55 *      -211 * 12.012346 *     0.982 * 12.037055 *      2212 *       321 *        11 *      2212 *         0 *
*        4 *       61 *       321 * 1.8511400 *     0.974 * 1.8521801 *        13 *      2212 *       321 *       321 *         0 *
*        4 *       62 *      -211 * 2.0475737 *     0.974 * 2.0480577 *        11 *       211 *      2212 *      2212 *         0 *
*        4 *       85 *        22 * 0.7824607 *     0.851 * 12.037055 *      2212 *       321 *        11 *      2212 *         0 *
*        4 *       88 *        22 * 0.1998407 *         1 * 4.9135740 *       321 *       321 *       321 *       321 *         0 *
*        5 *        2 *        13 * 148.14390 *     0.974 * 147.14221 *        13 *        13 *        13 *        13 *         0 *
*        5 *        4 *       -13 * 82.285253 *     0.978 * 82.560944 *        13 *        13 *        13 *        13 *         0 *
*        5 *        7 *      -211 * 15.309007 *     0.982 * 15.305127 *        13 *        13 *       321 *       211 *         0 *
*        6 *        2 *       -13 * 28.761138 *     0.982 * 28.790321 *        13 *        13 *        13 *        13 *         0 *
*        6 *        7 *      2212 * 1.9647142 *     0.982 * 1.9661293 *      2212 *       321 *        11 *       321 *         0 *
*        6 *        8 *        22 * 0.7762701 *     0.995 * 15.216735 *       321 *      2212 *       321 *      2212 *         0 *
*        6 *        9 *       211 * 1.0108173 *     0.961 * 1.0102921 *        11 *       211 *        13 *        11 *        13 *
Type <CR> to continue or q to quit ==>
*        6 *       10 *      -211 * 1.0298303 *     0.965 * 0.7734553 *       321 *        13 *        13 *       211 *        13 *
*        6 *       17 *      -211 * 2.1140971 *     0.974 * 2.1122253 *       211 *       211 *       211 *       211 *         0 *
*        6 *       22 *        22 * 0.1164893 *         1 * 3.4392415 *       321 *       211 *       321 *       211 *         0 *
*        6 *       32 *       211 * 1.1353734 *     0.974 * 1.1164110 *        13 *       211 *        11 *        11 *         0 *
*        6 *       33 *      -211 * 4.8351171 *     0.974 * 4.8325434 *        13 *       211 *       321 *       211 *         0 *
*        6 *       34 *      -211 * 44.346035 *     0.965 * 44.280774 *       321 *       321 *       321 *       321 *         0 *
*        6 *       41 *      -211 * 1.8962850 *     0.978 * 1.8954881 *      2212 *       211 *       211 *      2212 *         0 *
*        6 *       43 *       211 * 2.4138905 *     0.978 * 2.4102505 *       211 *       211 *      2212 *       211 *         0 *
*        6 *       47 *       211 * 9.2136966 *     0.965 * 9.2182173 *        13 *       211 *       321 *        13 *         0 *
*        7 *        2 *        13 * 58.129426 *     0.982 * 58.054118 *        13 *        13 *        11 *        13 *         0 *
*        7 *        3 *       -13 * 173.62157 *     0.982 * 174.90703 *        13 *        13 *        13 *        13 *         0 *
*        7 *        5 *        13 * 19.237444 *     0.984 * 19.229200 *        13 *       321 *        13 *        13 *         0 *
*        7 *        8 *       -11 * 3.6746537 *     0.987 * 3.6716229 *        11 *        11 *        11 *        11 *         0 *
*        8 *        2 *        13 * 50.434148 *      0.97 * 50.305063 *        13 *        13 *        11 *        13 *         0 *
*        8 *        4 *       -13 * 158.37397 *     0.978 * 157.74968 *        13 *        13 *        11 *        13 *         0 *
*        8 *        8 *       211 * 2.2824330 *     0.978 * 2.2820955 *      2212 *       211 *      2212 *       211 *         0 *
*        8 *       10 *       211 * 1.2327312 *     0.969 * 1.2315407 *      2212 *        13 *        11 *        11 *         0 *
*        8 *       11 *      -211 * 1.4160465 *     0.974 * 1.4142911 *      2212 *       211 *       321 *       211 *         0 *
*        8 *       12 *     -2212 * 1.5735759 *         1 * 1.5720751 *      2212 *       211 *        11 *      2212 *         0 *
*        8 *       14 *      -211 * 3.9267701 *     0.982 * 3.9257359 *       321 *       321 *       321 *       321 *         0 *
*        8 *       22 *       211 * 3.7969701 *     0.978 * 3.7968563 *       321 *      2212 *       321 *        13 *         0 *
*        8 *       23 *      -211 * 0.6298782 *     0.871 * 0.6308483 *        11 *       211 *        13 *        11 *        13 *
*        8 *       24 *       211 * 0.9479837 *     0.933 * 0.9482454 *        13 *        13 *        11 *        11 *       211 *
*        8 *       29 *      -211 * 17.120562 *     0.982 * 17.129503 *       321 *        13 *       321 *       211 *         0 *
*        8 *       34 *      -211 * 1.4892905 *     0.974 * 1.4894658 *        11 *       321 *        13 *       321 *         0 *
